,Gravimetric_TSP,Calibrated_TSP
0,0.128,0.154473277
1,0.085,0.083252807
2,0.119,0.111809193
3,0.0725,0.111391883
4,0.079,0.0887705
5,0.103,0.106736681
6,0.1298,0.135409463
7,0.0689,0.066807365
8,0.113,0.041539095
9,0.206,0.396996
10,0.171,0.165372093
11,0.1272,0.132066169
12,0.1261,0.100150656
13,0.1156,0.113721409
14,0.012,0.034183264
15,0.0971,0.11075574
16,0.0863,0.105571488
17,0.107,0.107509349
18,0.15,0.148804413
19,0.078,0.105074413
20,0.11,0.129614
21,0.079,0.077721057
22,0.143,0.127101674
23,0.07,0.067955854
24,0.087,0.092182334
25,0.114,0.125093228
26,0.15,0.1625684
27,0.1318,0.126464625
28,0.1845,0.189843807
29,0.182,0.126418597
30,0.141,0.150793427
31,0.1547,0.133015507
32,0.091,0.3618503
33,0.0896,0.1066298
34,0.1205,0.117473349
35,0.137,0.122490383
36,0.273,0.310726
37,0.096,0.141838182
38,0.112,0.110300846
39,0.131,0.140582472
40,0.0809,0.081737427
41,0.146,0.146394607
42,0.0977,0.102355219
43,0.1308,0.136780489
44,0.11,0.3084302
45,0.19,0.156987567
46,0.113,0.129680267
47,0.093,0.088924597
48,0.071,0.071892445
49,0.322,0.317396
50,0.146,0.1595706
51,0.108,0.100228757
52,0.0942,0.104847997
53,0.075,0.095348192
54,0.104,0.096194933
55,0.1311,0.149167699
56,0.122,0.099526244
57,0.053,0.067274108
58,0.2,0.189542597
59,0.192,0.169406379
60,0.248,0.317489867
61,0.1,0.103524688
62,0.0685,0.083001474
63,0.233,0.257212
64,0.134,0.134943236
65,0.119,0.110512293
66,0.161,0.140010058
67,0.1238,0.132872917
68,0.0579,0.06535506
69,0.1124,0.104226637
70,0.1018,0.11169886
71,0.0914,0.104960254
72,0.109,0.1128796
73,0.119,0.08998963
74,0.1219,0.123694294
75,0.0218,0.035304774
76,0.1419,0.152642557
77,0.14,0.12349785
78,0.0462,0.052839615
79,0.107,0.14593911
80,0.154,0.1513488
81,0.094,0.103876363
82,0.096,0.098386656
83,0.156,0.1486065
84,0.091,0.096659962
85,0.092,0.081764783
86,0.115,0.131284067
87,0.151,0.146071667
88,0.0671,0.083731878
89,0.066,0.080318644
90,0.135,0.14955873
91,0.0453,0.046690883
92,0.0761,0.096422287
93,0.094,0.083066049
94,0.0754,0.090236606
95,0.0944,0.089347273
96,0.116,0.127457352
97,0.1673,0.18505068
98,0.49,0.5472699
99,0.106,0.098958581
100,0.146,0.148446
101,0.166,0.168787457
102,0.133,0.130908707
103,0.234,0.1732657
104,0.08,0.078309492
105,0.0245,0.02839216
106,0.203,0.151337963
107,0.194,0.10272649
108,0.1239,0.129845252
109,0.1781,0.192661978
110,0.088,0.097945842
111,0.0487,0.056285005
112,0.191,0.25484
113,0.144,0.132240913
114,0.1164,0.11871482
115,0.13,0.153966833
116,0.1061,0.093515828
117,0.752,0.7090588
118,0.112,0.29812755
119,0.1822,0.144968753
120,0.0628,0.039127065
121,0.018,0.020665475
122,0.069,0.06972979
123,0.0375,0.036128392
124,0.103,0.135232267
125,0.153,0.142902834
126,0.098,0.095241476
127,0.075,0.12100382
128,0.286,0.302092
129,0.0795,0.0868411
130,0.058,0.13496871
131,0.469,0.6130212
132,0.1018,0.086122699
133,0.094,0.111234937
134,0.182,0.176414
135,0.1218,0.14661252
136,0.627,0.5581772
137,0.11,0.1917566
138,0.195,0.1412538
139,0.129,0.134237092
140,0.067,0.069062085
141,0.189,0.13513534
142,0.1913,0.202652287
143,0.099,0.092870333
144,0.0946,0.099500991
145,0.0815,0.083968976
146,0.0993,0.100288753
147,0.103,0.11732199
148,0.117,0.1101526
149,0.097,0.09713685
150,0.276,0.283026
151,0.055,0.069140303
152,0.126,0.136763187
153,0.085,0.084595023
154,0.049,0.055783512
155,0.134,0.134396876
156,0.103,0.118978438
157,0.171,0.16559959
158,0.401,0.3147609
159,0.092,0.091775634
160,0.1505,0.141272088
161,0.12,0.13358064
162,0.117,0.1684318
163,0.0257,0.036122562
164,0.835,0.65712
165,0.147,0.14525457
166,0.199,0.180628
167,0.108,0.110388172
168,0.139,0.13423205
169,0.644,0.6268704
170,0.437,0.5099404
171,0.102,0.101974893
172,0.531,0.643004
173,0.187,0.14783681
174,0.163,0.140887894
175,0.097,0.111799253
176,0.142,0.2856594
177,0.0653,0.071957429
178,0.138,0.128513887
179,0.07,0.074326742
180,0.106,0.0867214
181,0.1459,0.1688968
182,0.0658,0.067581863
183,0.121,0.116321271
184,0.0964,0.108133153
185,0.0921,0.085966804
186,0.13,0.140596638
187,0.08,0.08598752
188,0.086,0.135792557
189,0.119,0.122995747
190,0.137,0.1513488
191,0.062,0.076684665
192,0.13,0.131779767
193,0.0183,0.027880952
194,0.151,0.162072067
195,0.125,0.131332937
196,0.12,0.138862972
197,0.167,0.131200046
198,0.152,0.113073947
199,0.293,0.250654
200,0.126,0.46986955
201,0.576,0.6285064
202,0.1293,0.12324133
203,0.1167,0.111959533
204,0.122,0.128654208
205,0.112,0.1725206
206,0.114,0.096773031
207,0.1462,0.140483547
208,0.1325,0.146923147
209,0.164,0.16772804
210,0.1045,0.108387728
211,0.1096,0.125330378
212,0.1291,0.137725983
213,0.1027,0.091571527
214,0.117,0.13218008
215,0.109,0.11480428
216,0.0723,0.092108937
217,0.079,0.085115023
218,0.072,0.099326947
219,0.0692,0.069383585
220,0.0962,0.053059424
221,0.075,0.088559032
222,0.1095,0.107682064
